Œ“ –€“Œ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ "–Œ——»…— Œ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ œŒ œ–Œ»«¬Œƒ—“¬” ÷¬≈“Õ€’ » ƒ–¿√Œ÷≈ÕÕ€’ Ã≈“¿ÀÀŒ¬ "ÕŒ–»À‹— »… Õ» ≈À‹";00002565;47;16;65.23.1;2457009983;384;2;150;150;0;0;0;0;0;0;56;91;0;0;3129154;3129154;18558;16316;0;0;3147918;3145711;23;37;0;0;1951;4704;2900387;2770211;13763;20799;0;0;2916124;2795751;6064042;5941462;47250;47250;0;0;0;0;2266991;2266991;7087;7087;3741048;3618556;6062376;5939884;0;0;0;0;0;0;0;0;0;0;0;0;360;288;0;0;1306;1290;0;0;1666;1578;6064042;5941462;2951506;2846978;2770211;2650203;181295;196775;0;0;52939;51076;128356;145699;29792;0;1364;1828;0;0;58;616;12216;6072;147354;142071;27104;23947;18867;18923;0;0;2242;-4910;0;344;122492;112870;0;0;0;0;122492;112870;47250;0;2266991;7087;3618556;5939884;0;0;0;0;122492;122492;122492;122492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47250;0;2266991;7087;3741048;6062376;6062376;5939884;2952890;0;121;0;2952769;2989704;15215;32857;0;27105;2914527;-36814;29792;0;0;0;29792;0;0;0;0;0;0;0;29792;0;0;0;0;0;0;0;0;0;0;0;0;-7022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130619
Œ“ –€“Œ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ "¬À¿ƒ“≈ —";00031029;47;16;70.20.2;3328100636;384;1;0;0;0;0;0;0;0;0;732;705;0;0;6;6;0;0;0;0;0;0;98;149;0;0;333;295;0;0;102;214;0;0;0;0;1271;1369;0;0;0;0;0;0;0;0;0;0;0;0;1145;1245;0;0;0;0;0;0;0;0;0;0;0;0;126;124;0;0;0;0;0;0;0;0;1271;1369;2881;3678;2623;3484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;105;0;0;0;0;0;0;0;0;174;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130520
ŒÚÍ˚ÚÓÂ ‡ÍˆËÓÌÂÌÓÂ Ó·˘ÂÒÚ‚Ó " ÓÔÓ‡ÚË‚Ì˚Â ÒÂ‚ËÒÌ˚Â ÒËÒÚÂÏ˚";00104082;47;16;70.20.2;3125008321;384;2;0;0;0;0;0;0;0;0;586697;374164;0;0;931;213031;23797;2594;0;0;611425;589789;28000;3136;88;88;126725;243615;0;68600;3776;1544;872;3466;159461;320449;770886;910238;118183;118183;0;0;8392;8392;24310;24310;5909;5909;595131;702883;751925;859677;0;0;3374;3409;0;0;0;0;3374;3409;0;0;13682;40194;0;0;1905;6958;0;0;15587;47152;770886;910238;151856;286871;146952;303927;4904;-17056;0;0;0;0;4904;-17056;0;0;2869;19595;0;0;9322;179144;129932;63679;-112837;118004;0;7429;0;-2339;-162;-339;21203;982;0;21322;-91472;90574;0;8392;0;0;-91472;98966;118183;0;32702;5909;702883;859677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107752;107752;91472;91472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16280;16280;0;0;0;0;0;118183;0;32702;5909;595131;751925;751925;859677;243701;15694;148909;0;79098;132039;7543;52345;0;0;72151;111662;96604;0;96604;0;0;0;187551;187551;0;0;0;0;-90947;0;0;0;0;0;0;18483;0;8483;10000;0;-18483;2232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130614
Œ¡Ÿ≈—“¬Œ — Œ√–¿Õ»◊≈ÕÕŒ… Œ“¬≈“—“¬≈ÕÕŒ—“‹ﬁ " ”¡¿Õ— ¿ﬂ √≈Õ≈–»–”ﬁŸ¿ﬂ  ŒÃœ¿Õ»ﬂ";00104490;47;16;70.20;2312128916;384;2;0;0;0;0;0;0;0;0;1381519;1340223;0;0;0;0;16722;27230;2;3;1398243;1367456;1455;3013;0;0;33316;23042;0;0;121734;161160;0;0;156505;187215;1554748;1554671;1072166;1072166;0;0;0;0;1002877;1002877;138;35137;-588283;-613256;1486898;1496924;0;0;22794;23059;0;0;0;0;22794;23059;0;0;44940;34465;0;0;116;223;0;0;45056;34688;1554748;1554671;225700;221532;178121;162084;47579;59448;0;0;10517;9103;37062;50345;0;0;0;0;0;0;839;2777;36983;44081;918;9041;701;0;10760;12339;-265;76;-10508;-14070;0;188;-10026;-5293;0;0;0;0;-10026;-5293;1072166;0;1002877;35137;-613256;1496924;0;0;0;0;24973;24973;24973;24973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34999;0;34999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34999;0;34999;0;0;0;0;0;0;0;1072166;0;1002877;138;-588283;1486898;1486898;1496924;227933;225700;2135;0;98;133462;87485;3811;0;11599;30567;94471;0;0;0;0;0;0;133903;133868;0;0;0;35;-133903;0;0;0;0;0;0;0;0;0;0;0;0;-39432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130614
œ”¡À»◊ÕŒ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ ›Õ≈–√≈“» » » ›À≈ “–»‘» ¿÷»»  ”¡¿Õ»;00104604;47;16;40.10.2;2309001660;384;2;19715;15;17091;0;0;0;0;0;31207441;24966539;0;0;45688;45688;1006530;816460;269657;239230;32566122;26067932;1914210;1095421;10232;9138;3218957;2915550;0;0;4292452;5692998;972097;766374;10407948;10479481;42974070;36547413;14294283;9746093;0;0;8250871;8194372;3428746;3272288;89347;89347;-9481984;-7524145;16581263;13777955;5917000;10027267;138702;149156;0;0;265752;59541;6321454;10235964;10027267;5238151;8278698;5739087;12598;13649;1752790;1542607;0;0;20071353;12533494;42974070;36547413;28118506;28707841;28119207;29630163;-701;-922322;0;0;0;0;-701;-922322;1;0;446963;339002;1462895;1040253;1046902;1841822;2197596;2439253;-2167326;-2221004;0;0;228256;388004;-127552;-613831;198959;48416;60651;303025;-1901466;-1861782;0;0;0;0;-1901466;-1861782;9746093;0;11466660;89347;-7524145;13777955;4548190;0;156458;0;126;4704774;0;0;0;0;0;0;126;126;4548190;0;156458;4704648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1901466;1901466;1901466;1901466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56499;0;-56499;0;0;14294283;0;11679617;89347;-9481984;16581263;16593861;13791604;31738969;29893809;35275;0;1809885;31076023;25376809;2131845;1464362;22272;2080735;662946;526993;17312;0;0;504475;5206;7894711;7785876;0;0;0;108835;-7367718;10621647;5917000;0;4704647;0;0;5318003;0;0;5236685;81318;5303644;-1401128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130618
œ”¡À»◊ÕŒ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ " –¿—ÕŒﬂ–— ¿ﬂ √›—";00105472;47;16;40.10.12;2446000322;384;2;1462;1679;3393;6785;0;0;0;0;16378914;15766176;0;0;3040593;3627215;2984;2911;212781;432712;19640127;19837478;189776;204883;65;65;3355664;1564585;4921441;4699156;23896;1719321;1;7653;8490843;8195663;28130970;28033141;391106;391106;0;0;14453051;14278885;62498;62498;19555;19555;11759542;12362359;26685752;27114403;0;0;201019;146344;0;0;0;0;201019;146344;704405;0;495937;691386;0;0;14007;18179;29850;62829;1244199;772394;28130970;28033141;12533837;13967441;10561814;9992061;1972023;3975380;0;0;0;0;1972023;3975380;98937;94345;592251;525460;31657;0;401310;473509;1147452;968353;1885412;4100341;433816;841695;-111480;-75328;54820;56393;73;2692;209;2829;1396640;3202116;174710;1613733;0;328;1571350;4816177;391106;0;14341383;19555;12362359;27114403;0;0;174710;0;1397184;1571894;1396640;1396640;174710;0;174710;0;544;544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;544;0;2000001;2000545;0;0;0;0;0;544;0;544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000001;2000001;0;0;0;0;0;391106;0;14515549;19555;11759542;26685752;26685752;27114403;12445130;4703687;7653;0;7733790;11247026;250866;329318;29819;441417;10195606;1198104;294359;3249;0;1017;290093;0;1951849;709343;1237571;4935;0;0;-1657490;702567;702567;0;0;0;0;1938546;0;1938546;0;0;-1235979;-1695365;-60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130619
 ”«¡¿—— Œ≈ Œ“ –€“Œ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ ›Õ≈–√≈“» » » ›À≈ “–»‘» ¿÷»»;00105638;47;49;40.11.1;4200000333;384;2;0;0;425;0;0;0;0;0;4961346;21962215;0;3576;11731005;11628027;352369;4200;9474727;3916323;26519872;37514341;1954625;2966659;74334;23060;5975581;4712979;0;0;1363699;5014871;1042843;29137;10411082;12746706;36930954;50261047;706760;706760;0;-66541;0;9842904;0;7496044;35338;35338;6017494;8341716;6759592;26356221;15077350;15000000;0;323979;0;40295;4109;4109;15081459;15368383;4099972;4091574;10842647;3066669;97;29769;147187;1348431;0;0;15089903;8536443;36930954;50261047;35427309;30429310;34965152;30142100;462157;287210;22741;19547;0;0;439416;267663;0;74335;1021139;621905;1341081;843314;1561066;114277;2564284;1772829;-883744;-1537963;0;0;129145;135496;59970;26937;107574;213901;7616;-20028;-843756;-1330971;-9842904;-2147;0;0;-10686660;-1333118;706760;-66541;17338948;35338;8341716;26356221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-66541;17338948;0;2324222;19596629;843756;843756;0;0;0;1403;0;1403;0;-66541;0;0;-66541;0;0;0;0;0;0;0;17337545;0;1480466;18818011;0;0;0;0;0;0;0;706760;0;0;35338;6017494;6759592;6759689;29385990;41401420;40594420;73377;0;733623;47704374;36305048;2011576;1571306;113;7816331;-6302954;12165024;7346835;3887886;0;930303;0;12172313;9166113;0;3006200;0;0;-7289;19931800;19931800;0;0;0;0;17272810;481416;0;16790640;754;2658990;-3651253;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130624
Ã”Õ»÷»œ¿À‹ÕŒ≈ ”Õ»“¿–ÕŒ≈ œ–≈ƒœ–»ﬂ“»≈ "œ–Œ»«¬Œƒ—“¬≈ÕÕŒ≈ œ–≈ƒœ–»ﬂ“»≈ “≈œÀŒ¬€’ —≈“≈…";00106359;42;14;40.30.5;2703005461;384;2;0;0;0;0;0;0;0;0;83635;84252;0;0;0;0;100;0;0;0;83735;84252;29290;27461;0;0;25727;5413;0;0;1077;13006;223;370;56317;46250;140052;130502;92;92;0;0;14330;14330;87001;87001;127;127;5523;11769;107073;113319;0;0;146;112;0;0;0;0;146;112;0;0;25708;17071;0;0;7125;0;0;0;32833;17071;140052;130502;213300;198064;208039;193644;5261;4420;0;0;0;0;5261;4420;0;0;0;516;225;222;1154;1515;3215;3518;2975;2711;1347;950;489;536;34;76;101;0;559;0;1136;1685;0;0;0;0;1136;1685;92;0;101331;127;11769;113319;0;0;0;0;2290;2290;1136;1136;0;0;0;0;1154;1154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8536;8536;0;0;0;0;0;0;8536;8536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;101331;127;5523;107073;107073;113318;195499;195286;0;0;213;202486;60252;88361;225;2855;50793;-6987;0;0;0;0;0;0;4942;4942;0;0;0;0;-4942;6000;6000;0;0;0;0;6000;0;0;6000;0;0;-11929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130617
Œ“ –€“Œ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ " –¿—ÕŒƒ¿–— »… «¿¬Œƒ ∆≈À≈«Œ¡≈“ŒÕÕ€’ »«ƒ≈À»… »  ŒÕ—“–” ÷»…";00108772;47;49;26.61;2312031047;384;2;0;0;0;0;0;0;0;0;41961;41085;0;0;0;0;295;165;0;0;42257;41250;20941;16142;613;613;14536;14350;29;29;1981;3408;6354;6817;44454;41359;86710;82608;25;25;0;0;5104;5104;0;0;0;0;-7598;-14828;-2469;-9700;46715;46715;1654;2468;0;0;0;0;48369;49183;22063;24143;18446;18576;0;0;0;0;302;406;40811;43125;86710;82608;129778;112633;97901;84174;31877;28459;0;0;21154;19852;10723;8607;0;0;0;0;870;957;2494;2309;3200;3547;9147;6412;2835;179;-62;10;-814;1008;130;6;0;0;7256;5231;0;0;0;0;7256;5231;25;0;5104;0;-14828;-9699;0;0;0;0;7230;7230;7230;7230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;5104;0;-7598;-2469;-2469;-9700;144948;133259;0;0;11689;146970;73521;54986;0;2835;15628;-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;1636;0;0;0;0;1636;1041;0;0;0;1041;595;-1427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130618
Œ“ –€“Œ≈ ¿ ÷»ŒÕ≈–ÕŒ≈ Œ¡Ÿ≈—“¬Œ "¡Œ√”◊¿Õ— ¿ﬂ √›—";00108795;47;41;45.21.51;2420002597;384;2;0;0;0;0;0;0;0;0;67449488;56700424;0;0;159;159;0;0;235072;305262;67684719;57005845;1490492;1393017;368793;340359;1274442;2980110;0;0;6982;234384;56628;6724;3197337;4954594;70882056;61960439;5702603;6178169;-2238;-264;78761;81609;0;0;13802;162;-406262;-419128;5386666;5840548;64078610;54687121;13575;90553;0;0;0;0;64092185;54777674;17190;9132;1309626;1212590;0;0;69108;65958;7281;54537;1403205;1342217;70882056;61960439;1412899;2029271;1277931;1704911;134968;324360;0;0;295226;233782;-160258;90578;0;0;917;1453;0;0;116495;677303;485919;496684;-528765;272650;0;0;28774;-56381;305165;115496;382143;117348;121;1711;-451908;272791;0;0;0;0;-451908;272791;6178169;-264;81609;162;-419128;5840548;0;0;0;0;36524;36524;36524;36524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475566;1974;2848;0;23658;504046;23658;23658;0;0;0;2848;0;2848;475566;0;0;0;475566;0;1974;0;0;1974;0;0;0;0;0;0;0;0;0;0;0;13640;0;5702603;-2238;78761;13802;-406262;5386666;5386666;5840548;1107357;681362;125687;0;300308;2239043;1030406;662255;0;0;546382;-1131686;49400;49400;0;0;0;0;8534670;7015215;0;0;1519455;0;-8485270;9391490;9391490;0;0;0;0;1936;1936;0;0;0;9389554;-227402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20130619
